id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,a40b93c76a484e171b28bbfd340ffc2f,2023-07-29T00:00:00,2,Ярославль,8711,Снежанна,Павлова,4,Сахар песок,3,150
2,e0f34748c36c257d329e9111b207a678,2023-07-29T00:00:00,0,Москва,2818,Ольга,Козлова,5,Яблоко молодильное,3,1200
3,fa09b39d671996a4dc3fc2ffc806800c,2023-07-29T00:00:00,2,Ярославль,5700,Александр,Соколов,8,Лампочка LED,3,900
4,02c995cadd1979f5f631066642d6c7b8,2023-07-29T00:00:00,1,Ростов,6709,Алексей,Соколов,10,Томаты,5,250
5,b3410ae027ae0b8c0497ecf16b37f3c9,2023-07-29T00:00:00,1,Ростов,7607,Константин,Васильев,11,Хлеб ржаной,2,40
6,f7405a1a231d4c99e1ea9f203bbfa17c,2023-07-29T00:00:00,1,Ростов,3505,Олег,Попов,5,Яблоко молодильное,3,1200
7,190cf14c74f44b498ed994c2575c40c8,2023-07-29T00:00:00,2,Ярославль,6813,Елизавета,Козлова,6,Яблоко,2,280
8,6ad7bd5de8f4470ce276e85fe7693419,2023-07-29T00:00:00,1,Ростов,703,Иван,Соколов,9,Ручка шариковая,3,135
9,b2dd690dcc7006fed979cce3ce93add0,2023-07-29T00:00:00,1,Ростов,118,Александра,Федорова,6,Яблоко,2,280
10,0e4115fd7c14262c5b4fbae56385b529,2023-07-29T00:00:00,0,Москва,1212,Евгения,Морозова,5,Яблоко молодильное,3,1200
11,889d03465ad09bfbc525e62f0c34e386,2023-07-29T00:00:00,1,Ростов,7302,Константин,Смирнов,7,Средство для мытья посуды,5,1000
12,1a47521adfa6ba5ab31c5e67236eb998,2023-07-29T00:00:00,0,Москва,611,Александра,Егорова,9,Ручка шариковая,2,90
13,6d6b9c5bad41c162c6e98cfaf2ca0bd2,2023-07-29T00:00:00,2,Ярославль,6402,Алексей,Кузнецов,1,Молоко 3%,3,360
14,bb64c71f549808eaa71c91d4f94285e7,2023-07-29T00:00:00,2,Ярославль,6,Иван,Иванов,9,Ручка шариковая,5,225
15,f8ae525886f23b193732f1bd63d8cbc8,2023-07-29T00:00:00,2,Ярославль,3215,Светлана,Морозова,7,Средство для мытья посуды,3,600
16,3ff17d2a60961788c26aea30d33b2557,2023-07-29T00:00:00,1,Ростов,6808,Алексей,Михайлов,9,Ручка шариковая,5,225
17,427160538f549f4dd17f7ac05638a821,2023-07-29T00:00:00,2,Ярославль,4008,Сергей,Иванов,10,Томаты,5,250
18,9e1ffa9d70ffb9c569287b70a07fcb6f,2023-07-29T00:00:00,0,Москва,4705,Сергей,Соколов,8,Лампочка LED,1,300
19,e4093feecc9ff6aec0a30885050f7f72,2023-07-29T00:00:00,0,Москва,3416,Светлана,Алексеева,6,Яблоко,2,280
20,875d078c1f9fb95ef13defba7bac8436,2023-07-29T00:00:00,0,Москва,9315,Надежда,Волкова,10,Томаты,5,250
21,1844092685f2665ac6458fdd90558d1b,2023-07-29T00:00:00,2,Ярославль,9215,Надежда,Морозова,5,Яблоко молодильное,2,800
22,5284d51c72e0d371dad52f27ab36d41f,2023-07-29T00:00:00,0,Москва,7207,Константин,Сидоров,3,Устройство для нагревания табака Трубка Мира,1,500
23,a234043d6a469617b8cc50f8a2f20fda,2023-07-29T00:00:00,1,Ростов,5217,Оксана,Морозова,1,Молоко 3%,2,240
24,420fbc4b2af94405e5e33d78219254b5,2023-07-29T00:00:00,2,Ярославль,1707,Евгений,Соколов,1,Молоко 3%,3,360
25,b48b4eb27dacc1b98d0d844edf7a4f3d,2023-07-29T00:00:00,1,Ростов,2818,Ольга,Козлова,9,Ручка шариковая,5,225
26,9b7f2e2dbc3fea0da0435daabec8d5cc,2023-07-29T00:00:00,2,Ярославль,3618,Светлана,Егорова,9,Ручка шариковая,1,45
27,572ce2af198115dce160606b758c63d4,2023-07-29T00:00:00,0,Москва,4217,Екатерина,Морозова,8,Лампочка LED,5,1500
28,5b5b52b6a6f962ebfdb295b8f6df86e4,2023-07-29T00:00:00,0,Москва,7416,Анна,Алексеева,2,Молоко 5%,3,450
29,cefcda5808c94c18899d7b244e437b9b,2023-07-29T00:00:00,0,Москва,3516,Светлана,Лебедева,9,Ручка шариковая,2,90
30,c32b4c53a0f219f5f77a8b1b01c70dc7,2023-07-29T00:00:00,0,Москва,9119,Надежда,Федорова,8,Лампочка LED,3,900
31,b8894fb05a1a3bf5686d5eb589434fd3,2023-07-29T00:00:00,2,Ярославль,8810,Снежанна,Козлова,0,Молоко 1%,2,200
32,dd53ebd9042a20328bcb3e1880bfc0a9,2023-07-29T00:00:00,1,Ростов,603,Иван,Васильев,8,Лампочка LED,2,600
33,bfbf418ed78d2c38734b8e0a7a94f82e,2023-07-29T00:00:00,1,Ростов,1402,Евгений,Кузнецов,1,Молоко 3%,3,360
34,760c618906b910d7eb1c2a466ae96908,2023-07-29T00:00:00,0,Москва,8611,Снежанна,Егорова,9,Ручка шариковая,1,45
35,26b17aa2900ae8fb8cf6068778194b8c,2023-07-29T00:00:00,1,Ростов,1711,Евгения,Павлова,6,Яблоко,3,420
36,80dcbdee99713e880b291cc88f3a6c5c,2023-07-29T00:00:00,0,Москва,1118,Евгения,Федорова,2,Молоко 5%,2,300
37,d570535df51c5da36f24fc71b00ebc53,2023-07-29T00:00:00,2,Ярославль,9517,Надежда,Лебедева,9,Ручка шариковая,3,135
38,98ef6489d558c854d11b7f584d56b5bd,2023-07-29T00:00:00,2,Ярославль,8806,Геннадий,Михайлов,0,Молоко 1%,3,300
39,0475b6a45aa0d5f79b29a3f026864c48,2023-07-29T00:00:00,2,Ярославль,8811,Снежанна,Козлова,0,Молоко 1%,5,500
40,2b62ee4f51a21491c1272a3345e8cfe9,2023-07-29T00:00:00,1,Ростов,208,Иван,Сидоров,9,Ручка шариковая,2,90
41,7a86cfc27c81db85e34fb47612b1d9f6,2023-07-29T00:00:00,0,Москва,9018,Надежда,Великая,10,Томаты,5,250
42,6a0b3c280c9063ba2e0cc029c4401d1a,2023-07-29T00:00:00,1,Ростов,1602,Евгений,Васильев,1,Молоко 3%,2,240
43,6c753e8e7814ab8c079b13a5b44f3802,2023-07-29T00:00:00,1,Ростов,8206,Геннадий,Сидоров,1,Молоко 3%,2,240
44,cb2980026a16c6d6b77b5a318b2add50,2023-07-29T00:00:00,0,Москва,7709,Константин,Соколов,3,Устройство для нагревания табака Трубка Мира,1,500
45,4668694bdbb9f2fcdc775dacde12597e,2023-07-29T00:00:00,1,Ростов,5617,Оксана,Егорова,3,Устройство для нагревания табака Трубка Мира,2,1000
46,30d35d5a7f7bf25526da78590c8cb274,2023-07-29T00:00:00,1,Ростов,3009,Олег,Иванов,7,Средство для мытья посуды,3,600
47,c3d8695125151a0e472f275f371316d0,2023-07-29T00:00:00,2,Ярославль,908,Иван,Новиков,0,Молоко 1%,2,200
48,8503b865061b5d110f32b7e2a2718eb1,2023-07-29T00:00:00,0,Москва,9512,Надежда,Лебедева,0,Молоко 1%,1,100
49,3888ad75e3586c73056a372c33e70777,2023-07-29T00:00:00,2,Ярославль,8509,Геннадий,Попов,11,Хлеб ржаной,2,40
50,16654c9f7568881053f8582bf7977273,2023-07-29T00:00:00,2,Ярославль,411,Александра,Алексеева,2,Молоко 5%,1,150
51,48aa030df3de5d5cd92ca257d35c5f78,2023-07-29T00:00:00,1,Ростов,7111,Анна,Федорова,8,Лампочка LED,1,300
52,f7314d566c428c74c95114ded93a1984,2023-07-29T00:00:00,1,Ростов,5305,Александр,Смирнов,6,Яблоко,4,560
53,3e9adcf719305796f28bdfb90a43fbc3,2023-07-29T00:00:00,1,Ростов,4906,Сергей,Новиков,4,Сахар песок,2,100
54,3e4f57e126f84b6b185440de9b5d2455,2023-07-29T00:00:00,0,Москва,8600,Геннадий,Васильев,0,Молоко 1%,4,400
