id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount,status
1,b153e9e6cd60823f4991bb1975cd21ba,2023-08-22T00:00:00,2,Ярославль,2002,Петр,Иванов,11,Хлеб ржаной,2,40,shipped
2,33404ce09752a041c63a69412272df02,2023-08-22T00:00:00,0,Москва,6205,Алексей,Сидоров,1,Молоко 3%,4,480,shipped
3,9204fa09b98e782e1af4d308d7a5fba3,2023-08-22T00:00:00,0,Москва,7601,Константин,Васильев,2,Молоко 5%,2,300,shipped
4,97a5e5d488053424c2c0af8a3be80c6b,2023-08-22T00:00:00,2,Ярославль,13,Александра,Великая,11,Хлеб ржаной,1,20,shipped
5,f8247f53919d435aaed3322bf4b973a9,2023-08-22T00:00:00,0,Москва,9209,Эдуард,Сидоров,6,Яблоко,2,280,shipped
6,10b28f06b81f19c5e38e4aaaa9a4b57a,2023-08-22T00:00:00,1,Ростов,2711,Ольга,Павлова,10,Томаты,3,150,shipped
7,01bbc35145672c9b2e6f60adf6f807b6,2023-08-22T00:00:00,2,Ярославль,1514,Евгения,Лебедева,4,Сахар песок,4,200,shipped
8,9a4a23a1228562bec1ada6c0501847a5,2023-08-22T00:00:00,2,Ярославль,6913,Елизавета,Орлова,11,Хлеб ржаной,4,80,shipped
9,59846b4ccd7a3ab727119b36efcba5d6,2023-08-22T00:00:00,2,Ярославль,6011,Елизавета,Великая,9,Ручка шариковая,5,225,shipped
10,0119060bf8b76cec0b2a6bbcb83d81f1,2023-08-22T00:00:00,0,Москва,5903,Александр,Новиков,2,Молоко 5%,4,600,shipped
11,c02f50e0fbb3f78d4eb9f3227f984bdc,2023-08-22T00:00:00,2,Ярославль,3616,Светлана,Егорова,6,Яблоко,2,280,shipped
12,416012ecf33e6a175098b9e02e5bb766,2023-08-22T00:00:00,2,Ярославль,404,Иван,Кузнецов,7,Средство для мытья посуды,3,600,refunded
13,6ffa48c46c1c827e980af094db073ce5,2023-08-22T00:00:00,2,Ярославль,8504,Геннадий,Попов,5,Яблоко молодильное,1,400,shipped
14,75ff20bfdbedcd511ecf7ce13ec62666,2023-08-22T00:00:00,1,Ростов,6609,Алексей,Васильев,7,Средство для мытья посуды,3,600,shipped
15,5db4ddd3f4fffe7fddeabaa31b574598,2023-08-22T00:00:00,2,Ярославль,1600,Евгений,Васильев,8,Лампочка LED,1,300,shipped
16,3ee7b46577ba945eb72eb67f5303a6be,2023-08-22T00:00:00,1,Ростов,8814,Снежанна,Козлова,6,Яблоко,1,140,shipped
17,0b62021a434628cb7888157de8ee1310,2023-08-22T00:00:00,0,Москва,2918,Ольга,Орлова,6,Яблоко,4,560,shipped
18,24af8196ca8158eaaec02dc10453439a,2023-08-22T00:00:00,2,Ярославль,2718,Ольга,Павлова,11,Хлеб ржаной,3,60,shipped
19,611f30761f906d639853822da5456746,2023-08-22T00:00:00,1,Ростов,7705,Константин,Соколов,10,Томаты,1,50,shipped
20,f70aec5a7d9690242c84b15ad258ba01,2023-08-22T00:00:00,1,Ростов,1100,Евгений,Петров,3,Устройство для нагревания табака Трубка Мира,1,500,shipped
21,03a55c360514329d44e748c9480b2b4b,2023-08-22T00:00:00,1,Ростов,1206,Евгений,Сидоров,9,Ручка шариковая,4,180,shipped
22,395e85501a8277fc2f76d32ea30abe85,2023-08-22T00:00:00,0,Москва,9918,Надежда,Орлова,5,Яблоко молодильное,3,1200,shipped
23,e2b1208ea5a97709c2547f238532b8e9,2023-08-22T00:00:00,2,Ярославль,9105,Эдуард,Петров,3,Устройство для нагревания табака Трубка Мира,3,1500,shipped
24,093fd3da075f595dde58d39be4111523,2023-08-22T00:00:00,1,Ростов,9006,Эдуард,Иванов,3,Устройство для нагревания табака Трубка Мира,4,2000,shipped
25,fc839fb755c9c977e72cf6cf3f9e00f7,2023-08-22T00:00:00,1,Ростов,807,Иван,Михайлов,7,Средство для мытья посуды,5,1000,shipped
26,bd5eabb8fca3e5faea56a3d5c9610a6a,2023-08-22T00:00:00,2,Ярославль,3602,Олег,Васильев,11,Хлеб ржаной,2,40,shipped
27,c683fd98746fa0226048a11f475d22a9,2023-08-22T00:00:00,1,Ростов,4919,Екатерина,Орлова,2,Молоко 5%,4,600,shipped
28,5e2bc8ed9acd289577f2ba4c96338b8e,2023-08-22T00:00:00,1,Ростов,2410,Ольга,Алексеева,6,Яблоко,1,140,shipped
29,606ba800fdb5b312f35c0aba87773a80,2023-08-22T00:00:00,2,Ярославль,3907,Олег,Новиков,2,Молоко 5%,2,300,refunded
30,b8a98368c67addfba8eb59219f92aab4,2023-08-22T00:00:00,2,Ярославль,105,Иван,Петров,2,Молоко 5%,3,450,shipped
31,2345aff48efa018cb71f5bbd6b4f40c4,2023-08-22T00:00:00,2,Ярославль,5507,Александр,Попов,1,Молоко 3%,2,240,shipped
32,b4f1e04dfdf1d9b8078aee622c39592b,2023-08-22T00:00:00,0,Москва,6516,Елизавета,Лебедева,10,Томаты,4,200,shipped
